anchor,positive
"Consider the following two statements.
S₁: Destination MAC address of an ARP reply is a broadcast address.
S₂: Destination MAC address of an ARP request is a broadcast address.
Which one of the following choices is correct?",CS - Computer Networks: Network Layer - Address Resolution Protocol (ARP)
"Consider the following array.
[23 32 45 69 72 73 89 97]
Which algorithm out of the following options uses the least number of comparisons (among the array elements) to sort the above array in ascending order?",CS - Algorithms: Sorting - Comparison Count Analysis for Sorting Algorithms on Nearly Sorted Data
A binary search tree T contains n distinct elements. What is the time complexity of picking an element in T that is smaller than the maximum element in T?,CS - Programming and Data Structures: Trees - Properties of Binary Search Trees (BST)
"In the context of operating systems, which of the following statements is/are correct with respect to paging?","CS - Operating System: Memory Management - Paging, Internal and External Fragmentation, Page Table Overheads"
"Let ⟨M⟩ denote an encoding of an automaton M. Suppose that Σ = {0, 1}. Which of the following languages is/are NOT recursive?",CS - Theory of Computation: Turing Machines and Undecidability - Decidability of Language Properties for DFAs and PDAs
Suppose a database system crashes again while recovering from a previous crash. Assume checkpointing is not done by the database either during the transactions or during recovery. Which of the following statements is/are correct?,CS - Databases: Transactions and Concurrency Control - Database Recovery Techniques and Idempotency
Which of the following standard C library functions will always invoke a system call when executed from a single-threaded process in a UNIX/Linux operating system?,CS - Operating System: Processes and System Calls - System Calls versus Library Functions
"Consider a linear list based directory implementation in a file system. Each directory is a list of nodes, where each node contains the file name along with the file metadata, such as the list of pointers to the data blocks. Consider a given directory foo. Which of the following operations will necessarily require a full scan of foo for successful completion?",CS - Operating System: File Systems - Directory Implementation and File Operations
"In an undirected connected planar graph G, there are eight vertices and five faces. The number of edges in G is __________.",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory and Euler's Formula for Planar Graphs
Consider the provided undirected graph with edge weights. The number of minimum-weight spanning trees of the graph is __________.,CS - Algorithms: Graph Algorithms - Minimum Spanning Trees (MST) and Uniqueness
"The lifetime of a component of a certain type is a random variable whose probability density function is exponentially distributed with parameter 2. For a randomly picked component of this type, the probability that its lifetime exceeds the expected lifetime (rounded to 2 decimal places) is __________.",CS - Engineering Mathematics: Probability and Statistics - Exponential Distribution and Memoryless Property
Consider the array representation of a binary min-heap containing 1023 elements. The minimum number of comparisons required to find the maximum in the heap is __________.,CS - Programming and Data Structures: Heaps - Properties of Min-Heaps
"There are 6 jobs with distinct difficulty levels, and 3 computers with distinct processing speeds. Each job is assigned to a computer such that: - The fastest computer gets the toughest job and the slowest computer gets the easiest job. - Every computer gets at least one job. The number of ways in which this can be done is __________.",CS - Engineering Mathematics: Discrete Mathematics - Combinatorics (Counting with Constraints)
Consider the expression: lim (x→-3) (√(2x+22) - 4) / (x + 3). The value of the above expression (rounded to 2 decimal places) is __________.,CS - Engineering Mathematics: Calculus - Limits and L'Hôpital's Rule for Indeterminate Forms
"Consider the following sequence of operations on an empty stack: push(54); push(52); pop(); push(55); push(62); s = pop();
Consider the following sequence of operations on an empty queue: enqueue(21); enqueue(24); dequeue(); enqueue(28); enqueue(32); q = dequeue();
The value of s + q is __________.",CS - Programming and Data Structures: Stacks and Queues - Basic Operations on Stacks and Queues
"Consider a computer system with a byte-addressable primary memory of size 2³² bytes. Assume the computer system has a direct-mapped cache of size 32 KB (1 KB = 2¹⁰ bytes), and each cache block is of size 64 bytes. The size of the tag field is __________ bits.",CS - Computer Organization and Architecture: Memory Hierarchy - Direct-Mapped Cache Address Translation
"A relation r(A, B) in a relational database has 1200 tuples. The attribute A has integer values ranging from 6 to 20, and the attribute B has integer values ranging from 1 to 20. Assume that the attributes A and B are independently distributed. The estimated number of tuples in the output of σ₍ₐ>₁₀₎∨₍₈=₁₈₎(r) is __________.",CS - Databases: Relational Model - Relational Algebra and Query Result Size Estimation
"Consider the following representation of a number in IEEE 754 single-precision floating point format with a bias of 127.
S: 1, E: 10000001, F: 11110000000000000000000
The decimal value corresponding to the above representation (rounded to 2 decimal places) is __________.",CS - Digital Logic: Number Systems and Representations - IEEE 754 Floating-Point Representation
"Three processes arrive at time zero with CPU bursts of 16, 20 and 10 milliseconds. If the scheduler has prior knowledge about the length of the CPU bursts, the minimum achievable average waiting time for these three processes in a non-preemptive scheduler (rounded to nearest integer) is __________ milliseconds.",CS - Operating System: CPU Scheduling - Non-preemptive Shortest Job First (SJF) Scheduling
"Consider the following grammar and the associated syntax directed translation (SDT) actions:
P → D* E*
D → int ID {record that ID.lexeme is of type int}
D → bool ID {record that ID.lexeme is of type bool}
E → E₁ + E₂ {check that E₁.type = E₂.type = int; set E.type := int}
E → !E₁ {check that E₁.type = bool; set E.type := bool}
E → ID {set E.type := int}
With respect to the above grammar, which one of the following choices is correct?",CS - Compiler Design: Syntax-Directed Translation - Type Checking using Semantic Actions
"The following relation records the age of 500 employees of a company, where empNo is the key: empAge(empNo, age). Consider the relational algebra expression: Πₑₘₚₙₒ(empAge ⋈₍ₐ₉ₑ>ₐ₉ₑ₁₎ ρₑₘₚₙₒ₁,ₐ₉ₑ₁(empAge)). What does the above expression generate?","CS - Databases: Relational Model - Relational Algebra (Self Join, Projection, and Selection)"
"Consider a 3-bit counter, designed using T flip-flops, as shown in the circuit diagram. Assuming the initial state of the counter given by PQR as 000, what are the next three states?",CS - Digital Logic: Sequential Circuits - Counters and T Flip-Flop Analysis
"Assume that a 12-bit Hamming codeword consisting of 8-bit data and 4 check bits is d₈d₇d₆d₅c₈d₄d₃d₂c₄d₁c₂c₁. The data bits and check bits are given in the tables:
Data bits: |d₈|d₇|d₆|d₅|d₄|d₃|d₂|d₁| -> |1|1|0|x|0|1|0|1|
Check bits: |c₈|c₄|c₂|c₁| -> |y|0|1|0|
Which one of the following choices gives the correct values of x and y?",CS - Computer Networks: Data Link Layer - Error Detection and Correction Codes (Hamming Code)
"Consider the following recurrence relation.
T(n) = T(n/2) + T(2n/5) + 7n if n > 0; T(n) = 1 if n = 0.
Which one of the following options is correct?",CS - Algorithms: Asymptotic Analysis - Solving Recurrence Relations (Akra-Bazzi method or Recursion Tree)
"Consider the following context-free grammar where the set of terminals is {a, b, c, d, f}.
S → daT | R f
T → aS | baT | ε
R → caTR | ε
Consider the partially-filled LL(1) parsing table. Which one of the following choices represents the correct combination for the numbered cells?",CS - Compiler Design: Parsing - Construction of LL(1) Parsing Tables (FIRST and FOLLOW sets)
"Let rᵢ(z) and wᵢ(z) denote read and write operations respectively on a data item z by a transaction Tᵢ. Consider the following two schedules.
S₁: r₁(x) r₁(y) r₂(x) r₂(y) w₂(y) w₁(x)
S₂: r₁(x) r₂(x) r₂(y) w₂(y) r₁(y) w₁(x)
Which one of the following options is correct?",CS - Databases: Transactions and Concurrency Control - Conflict Serializability and Precedence Graphs
"Consider the relation R(P, Q, S, T, X, Y, Z, W) with functional dependencies: PQ → X; P → YX; Q → Y; Y → ZW. Consider two decomposition schemes for R.
D₁: R = [(P,Q,S,T); (P,T,X); (Q,Y); (Y,Z,W)]
D₂: R = [(P,Q,S); (T,X); (Q,Y); (Y,Z,W)]
Which one of the following options is correct?",CS - Databases: Database Design and Normalization - Lossless Join Decomposition
"Let G be a group of order 6, and H be a subgroup of G such that 1 < |H| < 6. Which one of the following options is correct?","CS - Engineering Mathematics: Discrete Mathematics - Group Theory (Cyclic Groups, Lagrange's Theorem, Groups of Prime Order)"
"Consider the two statements.
S₁: There exist random variables X and Y such that (E[(X − E(X))(Y − E(Y))])² > Var[X]Var[Y]
S₂: For all random variables X and Y, Cov[X, Y] = E[|X − E[X]| |Y − E[Y]|]
Which one of the following choices is correct?","CS - Engineering Mathematics: Probability and Statistics - Covariance, Variance, and Cauchy-Schwarz Inequality"
"Let G = (V, E) be an undirected unweighted connected graph. The diameter of G is defined as: diam(G) = maxᵤ,ᵥ∈ᵥ{the length of shortest path between u and v}. Let M be the adjacency matrix of G. Define graph G₂ on the same set of vertices with adjacency matrix N, where Nᵢⱼ = 1 if Mᵢⱼ > 0 or (M²)ᵢⱼ > 0, and Nᵢⱼ = 0 otherwise. Which one of the following statements is true?",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Graph Diameter and Powers of Adjacency Matrix)
"Consider the following ANSI C program.
#include <stdio.h>
int main() {
    int i, j, count = 0; i = 0;
    for (j = -3; j <= 3; j++) {
        if ((j >= 0) && (i++))
            count = count + j;
    }
    count = count + i;
    printf(""%d"", count);
    return 0;
}
Which one of the following options is correct?","CS - Programming and Data Structures: Programming in C - Control Flow (for loop), Operator Precedence, and Short-Circuit Evaluation"
"Consider the language L = {w ∈ {0,1}* | w ends with the substring 011}. Which one of the provided deterministic finite automata accepts L?",CS - Theory of Computation: Regular Expressions and Finite Automata - Designing Deterministic Finite Automata (DFA)
"For a Turing machine M, ⟨M⟩ denotes an encoding of M. Consider the following two languages.
L₁ = {⟨M⟩ | M takes more than 2021 steps on all inputs}
L₂ = {⟨M⟩ | M takes more than 2021 steps on some input}
Which one of the following options is correct?",CS - Theory of Computation: Turing Machines and Undecidability - Decidability and Time-Bounded Computations
"Define Rₙ to be the maximum amount earned by cutting a rod of length n meters into one or more pieces of integer length and selling them. For i > 0, let p[i] denote the selling price of a rod of length i. Consider the prices: p[1]=1, p[2]=5, p[3]=8, p[4]=9, p[5]=10, p[6]=17, p[7]=18. Which of the following statements is/are correct about R₇?",CS - Algorithms: Algorithm Design Techniques - Dynamic Programming (Rod Cutting Problem)
An articulation point in a connected graph is a vertex such that removing it disconnects the graph. Let T be a DFS tree obtained by doing DFS in a connected undirected graph G. Which of the following options is/are correct?,"CS - Algorithms: Graph Algorithms - Articulation Points, Bridges, and DFS Trees"
"Consider the following Boolean expression.
F = (X + Y + Z)(X' + Y)(Y' + Z)
Which of the following Boolean expressions is/are equivalent to F' (complement of F)?",CS - Digital Logic: Boolean Algebra and Logic Gates - Boolean Expression Simplification and Complementation (De Morgan's Law)
A relation R is said to be circular if aRb and bRc together imply cRa. Which of the following options is/are correct?,CS - Engineering Mathematics: Discrete Mathematics - Relations and Their Properties (Equivalence Relations)
"The probability that a k-digit number does NOT contain the digits 0, 5, or 9 is",GA - Quantitative Aptitude: Probability - Counting Principles
"A TCP server application listens on port P on host S. A client is connected. While the connection was active, the server S crashed and rebooted. Assume the client does not use the TCP keepalive timer. Which of the following behaviors is/are possible?","CS - Computer Networks: Transport Layer - TCP Connection Management, Half-Open Connections, and RST segment"
"Hosts P and Q are connected through router R. MTU P-R is 1500 bytes, MTU R-Q is 820 bytes. A TCP segment of 1400 bytes was sent from P to Q (IP header size 20 bytes, DF flag not set). Which of the following statements is/are correct?",CS - Computer Networks: Network Layer - IP Fragmentation and Reassembly
"Consider the pseudocode where S is a semaphore initialized to 5 and counter is a shared variable initialized to 0. The increment `counter++` is not atomic. If five threads execute `parop` concurrently, which behaviors are possible?
1. int counter = 0;
2. Semaphore S = init(5);
3. void parop(void) {
5. wait(S); 6. wait(S); 7. counter++; 8. signal(S); 9. signal(S); 
}","CS - Operating System: Concurrency and Synchronization - Semaphores, Race Conditions, and Deadlock"
"Consider a dynamic hashing approach for 4-bit integer keys with a main hash table of size 4 using the 2 LSBs. Collisions are handled by a binary tree that splits on the 3rd and then 4th LSB as needed. Given the state of the hash table, which sequence of key insertions can cause it?",CS - Programming and Data Structures: Hashing - Dynamic Hashing (Extendible Hashing variant)
"Consider the ANSI C function: `int SimpleFunction(int Y[], int n, int x) { int total = Y[0]; for (int i = 1; i <= n - 1; i++) total = x * total + Y[i]; return total; }`. Let Z be an array of 10 elements with Z[i]=1 for all i. The value returned by SimpleFunction(Z, 10, 2) is __________.",CS - Programming and Data Structures: Programming in C - Evaluating Polynomials using Horner's Method
"Consider a sliding window protocol over a full-duplex link. Data frame size is 2,000 bits. Link data rate is 1 Mbps. One-way propagation delay is 100 ms. Processing times are negligible. The minimum sender's window size (in frames) needed to achieve a link utilization of 50% is __________ (rounded to nearest integer).",CS - Computer Networks: Data Link Layer - Sliding Window Protocols and Link Utilization Calculation
"Consider the C code segment: `a = b + c; e = a + 1; d = b + c; f = d + 1; g = e + f;`. In a compiler, this code is represented internally as a directed acyclic graph (DAG). The number of nodes in the DAG is __________.",CS - Compiler Design: Intermediate Code Generation and Optimization - Directed Acyclic Graphs (DAG) for Common Subexpression Elimination
"Consider the provided pushdown automaton over Σ = {a, b}. The number of strings of length 100 accepted by this PDA is __________.",CS - Theory of Computation: Context-Free Grammars and Push-Down Automata - PDA Language Recognition and String Counting
"Consider the matrix:
[ 0 1 1 1 ]
[ 1 0 1 1 ]
[ 1 1 0 1 ]
[ 1 1 1 0 ]
The largest eigenvalue of the above matrix is __________.",CS - Engineering Mathematics: Linear Algebra - Eigenvalues and Eigenvectors of Special Matrices
"A five-stage pipeline has stage delays of 150, 120, 150, 160 and 140 ns. Registers between stages have a delay of 5 ns. The total time to execute 100 independent instructions, assuming no stalls, is __________ nanoseconds.",CS - Computer Organization and Architecture: Instruction Pipelining - Pipeline Performance Calculation and Clock Cycle Time
"A sender transmits a signal (H with probability 0.1, L with 0.9). The probability of receiving a signal given the transmitted signal is shown in the graph. If the received signal is H, the probability that the transmitted signal was H (rounded to 2 decimal places) is __________.",CS - Engineering Mathematics: Probability and Statistics - Conditional Probability and Bayes' Theorem
"Consider the given instruction sequence starting at memory location 1000. Assume MEM[5000] is 10, R3 is 3000, and MEM[3000 to 3010] are all 50. After execution, the content of memory location 3010 is __________.",CS - Computer Organization and Architecture: Machine Instructions and Addressing Modes - Instruction Execution Cycle and Program Tracing
Gauri said that she can play the keyboard __________ her sister.,General Aptitude: Verbal Ability - Grammar and Sentence Structure
A transparent square sheet shown above is folded along the dotted line. The folded sheet will look like,General Aptitude: Numerical Ability - Spatial Aptitude
"If θ is the angle, in degrees, between the longest diagonal of the cube and any one of the edges of the cube, then, cos θ =",General Aptitude: Numerical Ability - Mensuration and Geometry
"If (x - 1/2)² - (x - 3/2)² = x + 2, then the value of x is:",General Aptitude: Numerical Ability - Algebra
"Pen : Write :: Knife : __________
Which one of the following options maintains a similar logical relation in the above?",General Aptitude: Verbal Ability - Verbal Analogies
"Listening to music during exercise improves exercise performance and reduces discomfort. Scientists researched whether listening to music while studying can help students learn better and the results were inconclusive. Students who needed external stimulation for studying fared worse while students who did not need any external stimulation benefited from music.
Which one of the following statements is the CORRECT inference of the above passage?",General Aptitude: Verbal Ability - Reading Comprehension
"A jigsaw puzzle has 2 pieces. One of the pieces is shown above. Which one of the given options for the missing piece when assembled will form a rectangle? The piece can be moved, rotated or flipped to assemble with the above piece.",General Aptitude: Numerical Ability - Spatial Aptitude
"The number of students in three classes is in the ratio 3:13:6. If 18 students are added to each class, the ratio changes to 15:35:21.
The total number of students in all the three classes in the beginning was:",General Aptitude: Numerical Ability - Ratio and Proportion
"The number of units of a product sold in three different years and the respective net profits are presented in the figure above. The cost/unit in Year 3 was `1, which was half the cost/unit in Year 2. The cost/unit in Year 3 was one-third of the cost/unit in Year 1. Taxes were paid on the selling price at 10%, 13% and 15% respectively for the three years. Net profit is calculated as the difference between the selling price and the sum of cost and taxes paid in that year.
The ratio of the selling price in Year 2 to the selling price in Year 3 is __________",General Aptitude: Numerical Ability - Data Interpretation and Percentage
"Six students P, Q, R, S, T and U, with distinct heights, compare their heights and make the following observations.
Observation I: S is taller than R.
Observation II: Q is the shortest of all.
Observation III: U is taller than only one student.
Observation IV: T is taller than S but is not the tallest.
The number of students that are taller than R is the same as the number of students shorter than __________",General Aptitude: Verbal Ability - Logical Deduction
"Let G be a connected undirected weighted graph. Consider the following two statements.
S1: There exists a minimum weight edge in G which is present in every minimum spanning tree of G.
S2: If every edge in G has distinct weight, then G has a unique minimum spanning tree.
Which one of the following options is correct?",CS - Algorithms: Graph Algorithms - Minimum Spanning Tree (MST) Properties
Let H be a binary min-heap consisting of n elements implemented as an array. What is the worst case time complexity of an optimal algorithm to find the maximum element in H?,CS - Programming and Data Structures: Heaps - Properties of Min-Heaps
"Consider the following ANSI C program:
int main() {
  Integer x;
  return 0;
}
Which one of the following phases in a seven-phase C compiler will throw an error?",CS - Compiler Design: Phases of a Compiler - Semantic Analysis and Type Checking
The format of the single-precision floating-point representation of a real number as per the IEEE 754 standard is as follows: [sign | exponent | mantissa]. Which one of the following choices is correct with respect to the smallest normalized positive number represented using the standard?,CS - Digital Logic: Number Systems and Representations - IEEE 754 Floating-Point Representation (Normalized Numbers)
"Which one of the following circuits implements the Boolean function given below? f(x, y, z) = m₀ + m₁ + m₃ + m₄ + m₅ + m₆, where mᵢ is the iᵗʰ minterm.",CS - Digital Logic: Combinational Circuits - Implementing Boolean Functions using Multiplexers (MUX)
"Consider the given C functions tob and pp. The value returned by pp(3,4) is __________.","CS - Programming and Data Structures: Programming in C - Functions, Bitwise operations, and Exponentiation"
"Consider the following statements S1 and S2 about the relational data model:
S1: A relation scheme can have at most one foreign key.
S2: A foreign key in a relation scheme R cannot be used to refer to tuples of R.
Which one of the following choices is correct?",CS - Databases: Relational Model - Integrity Constraints (Foreign Key)
"Consider the three-way handshake mechanism followed during TCP connection establishment between hosts P and Q. Let X and Y be two random 32-bit starting sequence numbers chosen by P and Q respectively. Suppose P sends a TCP connection request message to Q with a TCP segment having SYN bit = 1, SEQ number = X, and ACK bit = 0. Suppose Q accepts the connection request. Which one of the following choices represents the information present in the TCP segment header that is sent by Q to P?",CS - Computer Networks: Transport Layer - TCP Connection Establishment (Three-Way Handshake)
What is the worst-case number of arithmetic operations performed by recursive binary search on a sorted array of size n?,CS - Algorithms: Algorithm Analysis - Time Complexity of Binary Search
"Let L ⊆ {0, 1}* be an arbitrary regular language accepted by a minimal DFA with k states. Which one of the following languages must necessarily be accepted by a minimal DFA with k states?",CS - Theory of Computation: Regular Expressions and Finite Automata - Closure Properties of Regular Languages and Minimal DFA
"Consider the following ANSI C program.
#include <stdio.h>
int main() {
  int arr[4][5];
  int i, j;
  for (i=0; i<4; i++){
    for (j=0; j<5; j++){
      arr[i][j] = 10*i + j;
    }
  }
  printf(""%d"", *(arr[1] + 9));
  return 0;
}
What is the output of the above program?",CS - Programming and Data Structures: Programming in C - Pointers and 2D Arrays
"Consider the following sets, where n ≥ 2:
S₁: Set of all n x n matrices with entries from the set {a, b, c}
S₂: Set of all functions from the set {0, 1, 2, ..., n² - 1} to the set {0, 1, 2}
Which of the following choice(s) is/are correct?","CS - Engineering Mathematics: Discrete Mathematics - Set Theory, Cardinality, and Functions (Injections, Surjections, Bijections)"
Let L₁ be a regular language and L₂ be a context-free language. Which of the following languages is/are context-free?,CS - Theory of Computation: Regular and Context-Free Languages - Closure Properties of Language Classes
"In the context of compilers, which of the following is/are NOT an intermediate representation of the source program?",CS - Compiler Design: Intermediate Code Generation - Types of Intermediate Representations
Which of the following statement(s) is/are correct in the context of CPU scheduling?,CS - Operating System: CPU Scheduling - Scheduling Metrics and Algorithms (Round Robin)
"Choose the correct choice(s) regarding the following propositional logic assertion S:
S: ((P ∧ Q) → R) → ((P ∧ Q) → (Q → R))",CS - Engineering Mathematics: Discrete Mathematics - Propositional Logic and Logical Equivalence
Consider a complete binary tree with 7 nodes. Let A denote the set of first 3 elements obtained by performing Breadth-First Search (BFS) starting from the root. Let B denote the set of first 3 elements obtained by performing Depth-First Search (DFS) starting from the root. The value of |A - B| is __________.,CS - Programming and Data Structures: Trees - Graph Traversal (BFS and DFS) on Trees
Consider the given deterministic finite automaton (DFA). The number of strings of length 8 accepted by the above automaton is __________.,CS - Theory of Computation: Regular Expressions and Finite Automata - Counting Strings Accepted by a DFA
"If x and y are two decimal digits and (0.1101)₂ = (0.8xy5)₁₀, the decimal value of x + y is __________.",CS - Digital Logic: Number Systems and Representations - Number Base Conversion
"Consider a set-associative cache of size 2KB (1KB = 2¹⁰ bytes) with cache block size of 64 bytes. Assume that the cache is byte-addressable and a 32-bit address is used for accessing the cache. If the width of the tag field is 22 bits, the associativity of the cache is __________.",CS - Computer Organization and Architecture: Memory Hierarchy - Set-Associative Cache Address Translation
"Consider a computer system with DMA support. The DMA module is transferring one 8-bit character in one CPU cycle from a device to memory through cycle stealing at regular intervals. Consider a 2 MHz processor. If 0.5% processor cycles are used for DMA, the data transfer rate of the device is __________ bits per second.",CS - Computer Organization and Architecture: I/O Organization - Direct Memory Access (DMA) and Cycle Stealing
"A data file consisting of 1,50,000 student-records is stored on a hard disk with block size of 4096 bytes. The data file is sorted on the primary key RollNo. The size of a record pointer for this disk is 7 bytes. Each student-record has a candidate key attribute called ANum of size 12 bytes. Suppose an index file with records consisting of two fields, ANum value and the record pointer to the corresponding student record, is built and stored on the same disk. Assume that the records of data file and index file are not split across disk blocks. The number of blocks in the index file is __________.",CS - Databases: File Structures and Indexing - Index File Size Calculation
"For a given biased coin, the probability that the outcome of a toss is a head is 0.4. This coin is tossed 1,000 times. Let X denote the random variable whose value is the number of times that head appeared in these 1,000 tosses. The standard deviation of X (rounded to 2 decimal places) is __________.",CS - Engineering Mathematics: Probability and Statistics - Binomial Distribution (Mean and Variance)
"Consider the following ANSI C function:
int SomeFunction(int x, int y) {
  if ((x == 1) || (y == 1)) return 1;
  if (x == y) return x;
  if (x > y) return SomeFunction(x - y, y);
  if (y > x) return SomeFunction(x, y - x);
}
The value returned by SomeFunction(15, 255) is __________.",CS - Algorithms: Number Theoretic Algorithms - Euclidean Algorithm for GCD (Recursive)
Suppose that P is a 4 x 5 matrix such that every solution of the equation Px = 0 is a scalar multiple of [2 5 4 3 1]ᵀ. The rank of P is __________.,CS - Engineering Mathematics: Linear Algebra - Rank-Nullity Theorem
"Suppose that f: R → R is a continuous function on the interval [-3, 3] and a differentiable function in the interval (-3, 3) such that for every x in the interval, f'(x) ≤ 2. If f(-3) = 7, then f(3) is at most __________.",CS - Engineering Mathematics: Calculus - Mean Value Theorem
"Consider the string abbccddeee. Each letter must be assigned a binary code satisfying: 1. It must be a prefix code. 2. For letters of the same frequency, the one earlier in dictionary order gets a code of length less than or equal to the other. Among all such binary code assignments, what is the minimum length of the encoded string?",CS - Algorithms: Greedy Algorithms - Huffman Coding
"Assume a two-level inclusive cache hierarchy, L1 and L2, where L2 is larger. Consider the statements.
S1: Read misses in a write through L1 cache do not result in writebacks of dirty lines to the L2.
S2: Write allocate policy must be used with write through caches and no-write allocate policy is used with writeback caches.
Which statement is correct?","CS - Computer Organization and Architecture: Memory Hierarchy - Cache Policies (Write-Through, Write-Back, Write-Allocate)"
"Design a synchronous circuit that processes 0s and 1s, replacing the first 1 in any subsequence of consecutive 1s with a 0. The circuit can be a two-state Mealy machine. Let s be the current state, t the next state, b the input bit, and y the output bit. Assume initial state is 0. What are the Boolean expressions for t and y in terms of s and b?",CS - Digital Logic: Sequential Circuits - Finite State Machine Design (Mealy Machine)
"In an exam, a student chooses the order to attempt QuesA and QuesB. Rules apply for scoring. The table shows probabilities of correct answers and marks for each. To maximize expected marks, in which order should she attempt the questions and what is the expected marks?
| question | probability | marks |
|---|---|---|
| QuesA | 0.8 | 10 |
| QuesB | 0.5 | 20 |",CS - Engineering Mathematics: Probability and Statistics - Expected Value Calculation
"Consider the ANSI C code segment. Assume y points to a struct on the heap, and variables x, y, z, p, q, i are in registers. Common sub-expression elimination (CSE) is applied. What are the number of addition and dereference operations in the optimized code, respectively?
`z = x + 3 + y->f1 + y->f2; for (i = 0; i < 200; i = i + 2){ if (z > i) { p = p + x + 3; q = q + y->f1; } else { p = p + y->f2; q = q + x + 3; } }`",CS - Compiler Design: Code Optimization - Common Sub-expression Elimination (CSE)
"Let P = [[1, 1, -1], [2, -3, 4], [3, -2, 3]] and Q = [[-1, -2, -1], [6, 12, 6], [5, 10, 5]] be two matrices. Then the rank of P + Q is __________.",CS - Engineering Mathematics: Linear Algebra - Rank of a Matrix
